well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
312007,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1995-10-02 00:00:00,14.5,False,,
312007,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1997-04-01 00:00:00,14.4,False,,
312007,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1999-03-22 00:00:00,16.0,False,,
312007,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2005-06-15 00:00:00,18.3,False,,
312007,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2006-12-06 00:00:00,14.7,False,,
312007,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2007-07-31 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1979-12-04 00:00:00,14.1,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1979-12-10 00:00:00,13.9,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1991-04-29 00:00:00,14.2,False,,
209002,False,Temp,,,,1977-01-25 00:00:00,14.5,,,
209002,False,Temp,,,,1977-05-10 00:00:00,14.1,,,
209002,False,Temp,,,,1977-09-08 00:00:00,14.0,,,
209002,False,Temp,,,,1977-12-08 00:00:00,14.7,,,
209002,False,Temp,,,,1978-03-09 00:00:00,14.8,,,
209002,False,Temp,,,,1978-06-01 00:00:00,13.7,,,
209002,False,Temp,,,,1978-08-18 00:00:00,14.7,,,
209002,False,Temp,,,,1978-09-27 00:00:00,13.8,,,
209002,False,Temp,,,,1979-05-07 00:00:00,14.3,,,
209002,False,Temp,,,,1979-12-04 00:00:00,14.5,,,
209002,False,Temp,,,,1980-11-24 00:00:00,14.1,,,
209003,False,Temp,,,,1984-11-28 00:00:00,13.5,,,
209004,False,Temp,,,,1977-01-25 00:00:00,14.0,,,
209004,False,Temp,,,,1978-03-09 00:00:00,14.8,,,
