well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
332012,True,Static Water Level,False,,,1991-07-12 08:45:00,1.203,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-07-12 08:45:00,19.0,True,True,19.0
332012,True,Chromium Total,False,,,1991-06-28 08:37:00,0.38,,,
332012,True,Static Water Level,False,,,1991-06-28 08:37:00,1.18,,,
332012,True,Copper Total,False,,,1991-06-28 08:37:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-28 08:37:00,19.0,True,True,19.0
332012,True,Chromium Total,False,,,1991-06-14 08:40:00,0.21,,,
332012,True,Static Water Level,False,,,1991-06-14 08:40:00,1.242,,,
332012,True,Copper Total,False,,,1991-06-14 08:40:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-14 08:40:00,18.0,True,True,18.0
332012,True,Copper Total,False,,,1991-05-31 08:40:00,0.02,,,
332012,True,Static Water Level,False,,,1991-05-31 08:40:00,1.24,,,
332012,True,Chromium Total,False,,,1991-05-31 08:40:00,0.65,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-31 08:40:00,17.0,True,True,17.0
332012,True,Copper Total,False,,,1991-05-17 09:18:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-17 09:18:00,19.0,True,True,19.0
332012,True,Chromium Total,False,,,1991-05-17 09:18:00,0.57,,,
332012,True,Static Water Level,False,,,1991-05-17 09:18:00,1.19,,,
332012,True,Chromium Total,False,,,1991-05-03 09:45:00,0.05,,,
332012,True,Static Water Level,False,,,1991-05-03 09:45:00,1.185,,,
332012,True,Copper Total,False,,,1991-05-03 09:45:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-03 09:45:00,20.0,True,True,20.0
332031,True,Arsenic Dissolved,True,Dissolved Arsenic (HRC),Item2 [Dissolved Arsenic (HRC)],2001-07-11 14:30:00,0.004,True,True,0.004
332031,True,Chromium Total,False,,,2001-07-11 14:30:00,0.0121,,,
332031,True,Static Water Level,False,,,2001-07-11 14:30:00,2.03,,,
332031,True,Copper Dissolved,False,,,2001-07-11 14:30:00,0.0025,,,
332031,True,Chromium Total,False,,,1999-08-11 00:00:00,0.03,,,
332031,True,Static Water Level,False,,,1999-08-11 00:00:00,1.63,,,
332031,True,Copper Total,False,,,1999-08-11 00:00:00,0.01,,,
332031,True,Static Water Level,False,,,1998-12-21 00:00:00,1.6,,,
332031,True,Chromium Total,False,,,1998-12-21 00:00:00,0.1,,,
332031,True,Copper Total,False,,,1998-12-21 00:00:00,0.02,,,
332031,True,Chromium Total,False,,,1998-11-30 00:00:00,0.05,,,
332031,True,Copper Total,False,,,1998-11-30 00:00:00,0.01,,,
332031,True,Chromium Total,False,,,1998-10-28 00:00:00,0.01,,,
332031,True,Static Water Level,False,,,1998-10-28 00:00:00,1.155,,,
332031,True,Copper Total,False,,,1998-10-28 00:00:00,0.01,,,
332031,True,Chromium Total,False,,,1998-08-28 00:00:00,0.05,,,
332031,True,Copper Total,False,,,1998-08-28 00:00:00,0.03,,,
332031,True,Static Water Level,False,,,1998-08-28 00:00:00,1.47,,,
332031,True,Chromium Total,False,,,1998-06-12 00:00:00,0.03,,,
332031,True,Copper Total,False,,,1998-06-12 00:00:00,0.02,,,
332031,True,Static Water Level,False,,,1998-06-12 00:00:00,2.25,,,
332031,True,Chromium Total,False,,,1998-05-08 00:00:00,0.05,,,
332031,True,Copper Total,False,,,1998-05-08 00:00:00,0.02,,,
332031,True,Static Water Level,False,,,1998-05-08 00:00:00,2.12,,,
332031,True,Arsenic Dissolved,True,Dissolved Arsenic (HRC),Item2 [Dissolved Arsenic (HRC)],1998-03-06 10:25:00,0.001,True,,
332031,True,Copper Dissolved,False,,,1998-03-06 10:25:00,0.0036,,,
332031,True,Static Water Level,False,,,1998-03-06 10:25:00,2.32,,,
332031,True,Chromium Total,False,,,1998-03-06 10:25:00,0.334,,,
332031,True,Copper Total,False,,,1998-02-05 00:00:00,0.0036,,,
332031,True,Static Water Level,False,,,1998-02-05 00:00:00,2.35,,,
332031,True,Arsenic Dissolved,True,Dissolved Arsenic (HRC),Item2 [Dissolved Arsenic (HRC)],1998-02-05 00:00:00,0.001,True,,
332031,True,Chromium Total,False,,,1998-02-05 00:00:00,1.21,,,
332031,True,Copper Total,False,,,1998-01-12 10:30:00,0.02,,,
332031,True,Static Water Level,False,,,1998-01-12 10:30:00,2.24,,,
332031,True,Chromium Total,False,,,1998-01-12 10:30:00,0.23,,,
332031,True,Chromium Total,False,,,1997-12-12 13:15:00,0.07,,,
332031,True,Copper Total,False,,,1997-12-12 13:15:00,0.02,,,
332008,True,Chromium Total,False,,,1996-06-24 10:25:00,0.05,,,
332008,True,Copper Total,False,,,1996-06-24 10:25:00,0.015,,,
332008,True,Static Water Level,False,,,1996-06-24 10:25:00,1.31,,,
332008,True,Copper Total,False,,,1996-04-01 10:30:00,0.02,,,
332008,True,Chromium Total,False,,,1996-04-01 10:30:00,0.03,,,
332008,True,Static Water Level,False,,,1996-04-01 10:30:00,2.72,,,
332008,True,Chromium Total,False,,,1996-01-26 11:30:00,0.03,,,
332008,True,Copper Total,False,,,1996-01-26 11:30:00,0.03,,,
332008,True,Static Water Level,False,,,1996-01-26 11:30:00,2.27,,,
332008,True,Chromium Total,False,,,1995-07-28 11:00:00,0.019,,,
332008,True,Copper Total,False,,,1995-07-28 11:00:00,0.077,,,
332008,True,Chromium Total,False,,,1995-02-01 10:45:00,0.05,,,
332008,True,Copper Total,False,,,1995-02-01 10:45:00,0.02,,,
332008,True,Static Water Level,False,,,1995-02-01 10:45:00,2.351,,,
332008,True,Copper Total,False,,,1994-12-15 11:30:00,0.02,,,
332008,True,Chromium Total,False,,,1994-12-15 11:30:00,0.05,,,
332008,True,Static Water Level,False,,,1994-12-15 11:30:00,1.96,,,
332008,True,Copper Total,False,,,1994-05-27 14:15:00,0.02,,,
332008,True,Chromium Total,False,,,1994-05-27 14:15:00,0.05,,,
332008,True,Static Water Level,False,,,1994-05-27 14:15:00,2.458,,,
332008,True,Copper Total,False,,,1993-03-26 10:00:00,0.02,,,
332008,True,Chromium Total,False,,,1993-03-26 10:00:00,0.05,,,
332008,True,Static Water Level,False,,,1993-03-26 10:00:00,2.582,,,
332008,True,Copper Total,False,,,1993-10-01 14:10:00,0.02,,,
332008,True,Chromium Total,False,,,1993-10-01 14:10:00,0.05,,,
332008,True,Static Water Level,False,,,1993-10-01 14:10:00,2.146,,,
332008,True,Static Water Level,False,,,1992-06-26 10:00:00,1.895,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-06-26 10:00:00,17.0,True,True,17.0
332008,True,Chromium Total,False,,,1992-06-26 10:00:00,0.05,,,
332008,True,Copper Total,False,,,1992-06-26 10:00:00,0.02,,,
332008,True,Chromium Total,False,,,1992-03-20 08:55:00,0.05,,,
332008,True,Copper Total,False,,,1992-03-20 08:55:00,0.02,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-03-20 08:55:00,20.0,True,True,20.0
332008,True,Static Water Level,False,,,1992-03-20 08:55:00,2.034,,,
332008,True,Chromium Total,False,,,1992-02-21 08:20:00,0.05,,,
332008,True,Copper Total,False,,,1992-02-21 08:20:00,0.02,,,
332008,True,Static Water Level,False,,,1992-02-21 08:20:00,2.08,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-02-21 08:20:00,23.0,True,True,23.0
332008,True,Chromium Total,False,,,1992-01-24 07:50:00,0.05,,,
332008,True,Copper Total,False,,,1992-01-24 07:50:00,0.02,,,
332008,True,Static Water Level,False,,,1992-01-24 07:50:00,2.331,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-01-24 07:50:00,22.0,True,True,22.0
332008,True,Static Water Level,False,,,1992-12-15 09:05:00,1.948,,,
332008,True,Chromium Total,False,,,1992-12-15 09:05:00,0.05,,,
332008,True,Copper Total,False,,,1992-12-15 09:05:00,0.02,,,
332008,True,Chromium Total,False,,,1992-09-25 09:35:00,0.05,,,
332008,True,Copper Total,False,,,1992-09-25 09:35:00,0.02,,,
332008,True,Static Water Level,False,,,1992-09-25 09:35:00,1.448,,,
332008,True,Copper Total,False,,,1991-12-13 09:15:00,0.02,,,
332008,True,Static Water Level,False,,,1991-12-13 09:15:00,2.12,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-12-13 09:15:00,20.0,True,True,20.0
332008,True,Chromium Total,False,,,1991-12-13 09:15:00,0.05,,,
332008,True,Chromium Total,False,,,1991-11-22 07:50:00,0.05,,,
332008,True,Static Water Level,False,,,1991-11-22 07:50:00,2.063,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-11-22 07:50:00,17.0,True,True,17.0
332008,True,Copper Total,False,,,1991-11-22 07:50:00,0.02,,,
332008,True,Copper Total,False,,,1991-10-24 08:40:00,0.02,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-10-24 08:40:00,18.0,True,True,18.0
332008,True,Chromium Total,False,,,1991-10-24 08:40:00,0.05,,,
332008,True,Static Water Level,False,,,1991-10-24 08:40:00,1.945,,,
332008,True,Chromium Total,False,,,1991-09-20 09:25:00,0.05,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-09-20 09:25:00,15.0,True,True,15.0
