well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],23/05/1994 0:00,14,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],8/08/1994 0:00,14,FALSE,,
312007,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/1995 0:00,14,TRUE,TRUE,14
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],2/10/1995 0:00,14.5,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],1/04/1997 0:00,14.4,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],22/03/1999 0:00,16,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],15/06/2005 0:00,18.3,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],6/12/2006 0:00,14.7,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],31/07/2007 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],4/12/1979 0:00,14.1,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],10/12/1979 0:00,13.9,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],29/04/1991 0:00,14.2,FALSE,,
209002,FALSE,Temp,,,,25/01/1977 0:00,14.5,,,
209002,FALSE,Temp,,,,10/05/1977 0:00,14.1,,,
209002,FALSE,Temp,,,,8/09/1977 0:00,14,,,
209002,FALSE,Temp,,,,8/12/1977 0:00,14.7,,,
209002,FALSE,Temp,,,,9/03/1978 0:00,14.8,,,
209002,FALSE,Temp,,,,1/06/1978 0:00,13.7,,,
209002,FALSE,Temp,,,,18/08/1978 0:00,14.7,,,
209002,FALSE,Temp,,,,27/09/1978 0:00,13.8,,,
209002,FALSE,Temp,,,,7/05/1979 0:00,14.3,,,
209002,FALSE,Temp,,,,4/12/1979 0:00,14.5,,,
209002,FALSE,Temp,,,,24/11/1980 0:00,14.1,,,
209003,FALSE,Temp,,,,28/11/1984 0:00,13.5,,,
209004,FALSE,Temp,,,,25/01/1977 0:00,14,,,
209004,FALSE,Temp,,,,9/03/1978 0:00,14.8,,,
